Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	13:50.34, 03.10.23
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	 'Xenopus (Silurana) epitropicalis',	Xenopus epitropicalis		Medium	VTO_0081590	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rattus sp.',	Rattus sp.		Good	VTO_0014900	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'gilthead bream',	Gilthead sea bream Iberian betanodavirus		Good	NCBITaxon_683177	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Sphenodon punctatus',	Sphenodon punctatus		Medium	NCBITaxon_8508	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Sphenodon punctatus',	Sphenodon punctatus		Medium	VTO_0015594	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'dogs',	Dogs		Medium	OMIT_0005542	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'dogs',	Raccoon Dogs		Medium	OMIT_0023725	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia middendorffiana',	Daphnia middendorffiana		Medium	NCBITaxon_35526	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Daphnia middendorffiana',	Daphnia cf. middendorffiana BOLD:AAA6745		Medium	NCBITaxon_1071232	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'American kestrel',	Kestrel (organism)		Good	18013001	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'tree shrew',	Malayan tree shrew (organism)		Medium	67692005	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'tree shrew',	Philippine tree shrew (organism)		Medium	34477004	http://snomed.info/id/	http://snomed.info/sct/900000000000207008	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Erinaceus europaeus',	Erinaceus europaeus		Medium	VTO_0008614	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Erinaceus europaeus',	Erinaceus europaeus		Medium	NCBITaxon_9365	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'cynomolgus monkey',	Cynomolgus Monkey		Medium	NCIT_C14232	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'cynomolgus monkey',	Cynomolgus Maritius Monkey		Medium	NCIT_C77113	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Spisula solidissima',	Spisula solidissima		Good	NCBITaxon_6584	http://purl.obolibrary.org/obo/	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/ons.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculus musculus',	Mus musculus domesticus		Medium	NCBITaxon_10092	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculus musculus',	Mus musculus		Medium	NCBITaxon_10090	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculus musculus',	Mus musculus strain type		Medium	EFO_0004000	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Invertebrates',	Invertebrates		Medium	OMIT_0008565	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Invertebrates',	Invertebrates, Marine		Medium	NCIT_C14360	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'eisenia fetida',	Eisenia fetida		Good	NCBITaxon_6396	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Strigops habroptilus',	Strigops habroptilus		Good	VTO_0023515	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oreochromis niloticus',	Oreochromis niloticus		Good	TTO_1019780	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mytilus galloprovincialis',	Mytilus galloprovincialis		Good	NCBITaxon_29158	http://purl.obolibrary.org/obo/	https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/master/ons.owl	[UNKNOWN EXPERIMENTS]
